State,Severity,Quarter,Count
MN,2,4,12691
MN,3,1,3159
MN,3,2,1601
MN,3,3,1489
MN,3,4,1576
MN,4,1,33
MN,4,2,40
MN,4,3,19
MN,4,4,26
MO,2,1,1038
MO,2,2,1057
MO,2,3,698
MO,2,4,743
MO,3,1,1402
MO,3,2,1357
MO,3,3,1103
MO,3,4,1308
MO,4,1,160
MO,4,2,116
MO,4,3,69
MO,4,4,82
MS,1,4,1
MS,2,1,358
MS,2,2,304
MS,2,3,245
MS,2,4,304
MS,3,1,227
MS,3,2,132
MS,3,3,141
MS,3,4,190
MS,4,1,25
MS,4,2,17
MS,4,3,13
MS,4,4,27
MT,2,1,50
MT,2,2,7
MT,2,3,19
MT,2,4,16
MT,3,1,16
MT,3,2,9
MT,3,4,2
MT,4,1,21
MT,4,2,6
MT,4,3,2
MT,4,4,9
NC,1,1,5
NC,1,2,4
NC,1,3,2
NC,1,4,4
NC,2,1,10679
NC,2,2,9560
NC,2,3,8606
NC,2,4,9888
NC,3,1,1569
NC,3,2,1539
NC,3,3,1595
NC,3,4,1777
NC,4,1,195
NC,4,2,305
NC,4,3,213
NC,4,4,58
ND,2,1,3
ND,2,4,1
ND,3,1,2
ND,3,3,2
ND,3,4,1
ND,4,1,6
ND,4,2,2
NE,1,1,1
NE,1,2,1
NE,2,1,1217
NE,2,2,952
NE,2,3,746
NE,2,4,920
NE,3,1,228
NE,3,2,208
NE,3,3,159
NE,3,4,125
NE,4,1,19
NE,4,2,16
NE,4,3,39
NE,4,4,14
NH,1,1,1
NH,2,1,588
NH,2,2,367
NH,2,3,327
NH,2,4,444
NH,3,1,152
NH,3,2,82
NH,3,3,84
NH,3,4,143
NH,4,1,7
NH,4,2,7
NH,4,3,7
NH,4,4,10
NJ,1,1,1
NJ,1,2,2
NJ,1,3,1
NJ,1,4,1
NJ,2,1,2333
NJ,2,2,2392
NJ,2,3,2185
NJ,2,4,1964
NJ,3,1,947
NJ,3,2,890
NJ,3,3,830
NJ,3,4,757
NJ,4,1,136
NJ,4,2,207
NJ,4,3,201
NJ,4,4,171
NM,2,1,282
NM,2,2,233
NM,2,3,104
NM,2,4,168
NM,3,1,161
NM,3,2,182
NM,3,3,173
NM,3,4,188
NM,4,1,42
NM,4,2,27
NM,4,3,33
NM,4,4,23
NV,1,3,1
NV,2,1,522
NV,2,2,445
NV,2,3,499
NV,2,4,498
NV,3,1,322
NV,3,2,147
NV,3,3,300
NV,3,4,177
NV,4,1,24
NV,4,2,20
NV,4,3,18
NV,4,4,28
NY,1,1,2
NY,1,2,2
NY,1,4,1
NY,2,1,6447
NY,2,2,8084
NY,2,3,6896
NY,2,4,7133
NY,3,1,3840
NY,3,2,3535
NY,3,3,2908
NY,3,4,2607
NY,4,1,392
NY,4,2,336
NY,4,3,427
NY,4,4,357
OH,1,1,1
OH,2,1,2219
OH,2,2,1649
OH,2,3,1835
OH,2,4,2641
OH,3,1,1027
OH,3,2,967
OH,3,3,1095
OH,3,4,1239
OH,4,1,223
OH,4,2,159
OH,4,3,92
OH,4,4,88
OK,1,1,1
OK,1,2,1
OK,1,3,1
OK,1,4,1
OK,2,1,4871
OK,2,2,5473
OK,2,3,4607
OK,2,4,3595
OK,3,1,485
OK,3,2,461
OK,3,3,541
OK,3,4,375
OK,4,1,12
OK,4,2,26
OK,4,3,18
OK,4,4,15
OR,1,2,2
OR,2,1,11733
OR,2,2,6251
OR,2,3,9997
OR,2,4,9593
OR,3,1,764
OR,3,2,504
OR,3,3,672
OR,3,4,716
OR,4,1,395
OR,4,2,192
OR,4,3,227
OR,4,4,152
PA,1,1,1
PA,1,4,5
PA,2,1,3697
PA,2,2,3177
PA,2,3,2966
PA,2,4,4262
PA,3,1,1418
PA,3,2,1205
PA,3,3,1070
PA,3,4,1341
PA,4,1,403
PA,4,2,259
PA,4,3,164
PA,4,4,132
RI,2,1,417
RI,2,2,344
RI,2,3,369
RI,2,4,374
RI,3,1,368
RI,3,2,352
RI,3,3,376
RI,3,4,345
RI,4,1,6
RI,4,2,9
RI,4,3,6
RI,4,4,10
SC,1,1,5
SC,1,2,3
SC,1,3,12
SC,1,4,6
SC,2,1,9672
SC,2,2,11256
SC,2,3,11942
SC,2,4,15011
SC,3,1,2437
SC,3,2,2877
SC,3,3,2635
SC,3,4,2711
SC,4,1,71
SC,4,2,115
SC,4,3,107
SC,4,4,137
SD,2,1,1
SD,2,2,1
SD,3,1,1
SD,3,2,1
SD,4,1,9
SD,4,2,8
SD,4,3,6
TN,1,1,1
TN,1,2,1
TN,1,3,1
TN,1,4,1
TN,2,1,3728
TN,2,2,4157
TN,2,3,3320
TN,2,4,3694
TN,3,1,1483
TN,3,2,1551
TN,3,3,1255
TN,3,4,1503
TN,4,1,97
TN,4,2,120
TN,4,3,94
TN,4,4,129
TX,1,1,4
TX,1,2,5
TX,1,3,2
TX,1,4,8
TX,2,1,13032
TX,2,2,13885
TX,2,3,15154
TX,2,4,15506
TX,3,1,4995
TX,3,2,4853
TX,3,3,5002
TX,3,4,5253
TX,4,1,259
TX,4,2,282
TX,4,3,261
TX,4,4,217
UT,2,1,5155
UT,2,2,4853
UT,2,3,5030
UT,2,4,5553
UT,3,1,1111
UT,3,2,822
UT,3,3,891
UT,3,4,836
UT,4,1,216
UT,4,2,121
UT,4,3,109
UT,4,4,64
VA,1,2,2
VA,1,3,2
VA,1,4,6
VA,2,1,4315
VA,2,2,3798
VA,2,3,3337
VA,2,4,3388
VA,3,1,2505
VA,3,2,2381
VA,3,3,2153
VA,3,4,2470
VA,4,1,353
VA,4,2,380
VA,4,3,281
VA,4,4,343
VT,2,1,43
VT,2,2,11
VT,2,3,47
VT,2,4,51
VT,3,1,10
VT,3,2,8
VT,3,3,19
VT,3,4,15
VT,4,1,5
VT,4,2,1
VT,4,3,10
VT,4,4,5
WA,1,1,1
WA,1,3,1
WA,1,4,8
WA,2,1,2084
WA,2,2,1854
